match_id,team_A,team_B,score,cote,crowd,pts,bet,result
21,portugal,congo,2-3,125.23,0,,,
21,portugal,congo,3-0,7.9,19,,,
21,portugal,congo,3-1,12.61,16,,,
21,portugal,congo,3-2,40.79,2,,,
21,portugal,congo,3-3,134.97,0,,,
21,portugal,congo,4-0,13.75,8,,,
21,portugal,congo,4-1,22.2,6,,,
21,portugal,congo,4-2,66.59,2,,,
21,portugal,congo,4-3,,0,,,
21,portugal,congo,5-0,29.28,3,,,
21,portugal,congo,5-1,46.57,3,,,
21,portugal,congo,5-2,126.73,2,,,
21,portugal,congo,6-0,70.6,1,,,
21,portugal,congo,6-1,108.7,0,,,
21,portugal,congo,6-2,,0,,,
22,angleterre,croatie,0-0,12.09,3,,,
22,angleterre,croatie,0-1,14.83,1,,,
22,angleterre,croatie,0-2,30.53,2,,,
22,angleterre,croatie,0-3,85.97,1,,,
22,angleterre,croatie,1-0,7.6,5,,1,
22,angleterre,croatie,1-1,7.62,9,,,
22,angleterre,croatie,1-2,17.61,4,,,
22,angleterre,croatie,1-3,52.23,2,,,
22,angleterre,croatie,1-4,179.05,0,,,
22,angleterre,croatie,2-0,8.41,7,,,
22,angleterre,croatie,2-1,8.82,29,,,
22,angleterre,croatie,2-2,17.24,9,,,
22,angleterre,croatie,2-3,56.15,1,,,
22,angleterre,croatie,2-4,186.46,0,,,
22,angleterre,croatie,3-0,13.39,3,,,
22,angleterre,croatie,3-1,14.5,10,,,
22,angleterre,croatie,3-2,30.13,5,,,
22,angleterre,croatie,3-3,78.27,2,,,
22,angleterre,croatie,4-0,28.64,1,,,
22,angleterre,croatie,4-1,31.44,3,,,
22,angleterre,croatie,4-2,61.54,2,70,,1
22,angleterre,croatie,4-3,157.66,0,,,
22,angleterre,croatie,5-0,69.95,0,,,
22,angleterre,croatie,5-1,76.11,0,,,
22,angleterre,croatie,5-2,141.53,0,,,
22,angleterre,croatie,6-0,182.88,0,,,
22,angleterre,croatie,6-1,194.53,0,,,
23,ghana,panama,0-0,8.41,10,50,,
23,ghana,panama,0-1,9.16,4,,,
23,ghana,panama,0-2,16.36,2,,,1
23,ghana,panama,0-3,40.57,0,,,
23,ghana,panama,0-4,120.31,0,,,
23,ghana,panama,1-0,7.62,9,20,1,
23,ghana,panama,1-1,6.25,21,,,
23,ghana,panama,1-2,12.9,10,,,
23,ghana,panama,1-3,32.64,1,,,
23,ghana,panama,1-4,98.75,0,,,
23,ghana,panama,2-0,11.45,11,,,
23,ghana,panama,2-1,10.75,23,,,
23,ghana,panama,2-2,19.7,5,,,
23,ghana,panama,2-3,47.37,0,,,
23,ghana,panama,2-4,136.29,0,,,
23,ghana,panama,3-0,24.79,2,,,
23,ghana,panama,3-1,23.39,3,,,
23,ghana,panama,3-2,40.46,1,,,
23,ghana,panama,3-3,96.2,1,,,
23,ghana,panama,4-0,65.52,0,,,
23,ghana,panama,4-1,62.25,0,,,
23,ghana,panama,4-2,103.39,1,,,
23,ghana,panama,4-3,210,0,,,
23,ghana,panama,5-0,193.96,0,,,
23,ghana,panama,5-1,184.8,0,,,
24,ouzbekistan,colombie,0-0,12.58,9,,,
24,ouzbekistan,colombie,0-1,6.52,5,,1,
24,ouzbekistan,colombie,0-2,6.29,27,,,
24,ouzbekistan,colombie,0-3,9.02,12,,,
24,ouzbekistan,colombie,0-4,16.79,2,,,
24,ouzbekistan,colombie,0-5,37.12,1,,,
24,ouzbekistan,colombie,0-6,91.9,0,,,
24,ouzbekistan,colombie,1-0,19.63,1,,,
24,ouzbekistan,colombie,1-1,10.52,4,,,
24,ouzbekistan,colombie,1-2,9.75,15,,,
24,ouzbekistan,colombie,1-3,13.68,10,50,,1
24,ouzbekistan,colombie,1-4,25.41,4,,,
24,ouzbekistan,colombie,1-5,55.02,0,,,
24,ouzbekistan,colombie,1-6,132.72,0,,,
24,ouzbekistan,colombie,2-0,53.53,1,,,
24,ouzbekistan,colombie,2-1,28.72,2,,,
24,ouzbekistan,colombie,2-2,24.81,2,,,
24,ouzbekistan,colombie,2-3,38.59,1,,,
24,ouzbekistan,colombie,2-4,67.71,0,,,
24,ouzbekistan,colombie,2-5,139.1,0,,,
24,ouzbekistan,colombie,3-0,185.48,1,,,
24,ouzbekistan,colombie,3-1,105.94,0,,,
24,ouzbekistan,colombie,3-2,103.15,0,,,
24,ouzbekistan,colombie,3-3,123.74,1,,,
25,tchequie,afrique_du_sud,0-0,9.47,4,50,,
25,tchequie,afrique_du_sud,0-1,11.91,2,,,
25,tchequie,afrique_du_sud,0-2,24.73,1,,,
25,tchequie,afrique_du_sud,0-3,70.21,0,,,
25,tchequie,afrique_du_sud,0-4,280,0,,,
25,tchequie,afrique_du_sud,1-0,6.98,10,30,1,
25,tchequie,afrique_du_sud,1-1,7.05,6,20,,1
25,tchequie,afrique_du_sud,1-2,16.42,5,,,
25,tchequie,afrique_du_sud,1-3,47.08,1,,,
25,tchequie,afrique_du_sud,1-4,159.95,0,,,
25,tchequie,afrique_du_sud,2-0,8.76,23,,,
25,tchequie,afrique_du_sud,2-1,9.35,22,,,
25,tchequie,afrique_du_sud,2-2,19.22,4,,,
25,tchequie,afrique_du_sud,2-3,57.12,1,,,
25,tchequie,afrique_du_sud,2-4,188.62,0,,,
25,tchequie,afrique_du_sud,3-0,16.48,5,,,
25,tchequie,afrique_du_sud,3-1,16.93,9,,,
25,tchequie,afrique_du_sud,3-2,35.16,2,,,
25,tchequie,afrique_du_sud,3-3,92.56,1,,,
25,tchequie,afrique_du_sud,4-0,38.17,1,,,
